Date,Open,Close,Change,Quote,Low,High,Volume,Turnover,Rate
2010-08-03,60.09,61.15,1.06,1.76%,58.50,64.80,49654,30874.23,6.29%
2010-08-02,55.18,60.09,4.90,8.88%,54.70,60.68,55774,32004.68,7.06%
2010-07-30,56.50,55.19,-1.85,-3.24%,54.09,56.65,42912,23658.49,5.43%
2010-07-29,57.85,57.04,-0.48,-0.83%,56.51,58.39,25303,14510.27,3.20%
2010-07-28,56.69,57.52,0.81,1.43%,56.22,57.85,22385,12833.38,2.83%
2010-07-27,56.50,56.71,0.21,0.37%,56.02,57.80,22459,12842.20,2.84%
2010-07-26,56.55,56.50,-0.05,-0.09%,55.50,56.96,18893,10627.79,2.39%
2010-07-23,56.74,56.55,-0.17,-0.30%,55.58,56.76,30590,17190.07,3.87%
2010-07-22,54.30,56.72,2.46,4.53%,54.28,56.97,40321,22522.48,5.10%
2010-07-21,55.00,54.26,-0.69,-1.26%,54.21,55.59,25949,14268.11,3.28%
2010-07-20,52.28,54.95,2.70,5.17%,52.25,54.98,28196,15203.39,3.57%
2010-07-19,50.50,52.25,0.83,1.61%,50.26,52.36,16285,8404.31,2.06%
2010-07-16,51.40,51.42,-0.54,-1.04%,50.10,52.20,18429,9416.13,2.33%
2010-07-15,53.39,51.96,-1.88,-3.49%,51.80,54.30,17787,9420.50,2.25%
2010-07-14,53.99,53.84,-0.09,-0.17%,53.20,55.38,18052,9794.86,2.29%
2010-07-13,54.30,53.93,-0.55,-1.01%,52.48,54.47,22151,11806.77,2.80%
2010-07-12,54.32,54.48,-0.11,-0.20%,53.70,56.10,29019,15900.13,3.67%
2010-07-09,52.50,54.59,1.87,3.55%,51.61,54.80,36170,19420.88,4.58%
2010-07-08,54.25,52.72,-1.27,-2.35%,51.49,54.50,26584,14070.59,3.37%
2010-07-07,53.82,53.99,0.93,1.75%,52.40,54.60,27782,14886.24,3.52%
2010-07-06,50.10,53.06,2.74,5.45%,49.66,53.20,33148,17283.78,4.20%
2010-07-05,50.60,50.32,-1.58,-3.04%,49.00,51.00,24158,12096.17,3.06%
2010-07-02,50.90,51.90,0.51,0.99%,49.20,52.65,41291,21043.39,5.23%
2010-07-01,54.60,51.39,-2.81,-5.18%,51.00,55.80,41620,22099.79,5.27%
2010-06-29,60.01,54.20,-6.02,-10.00%,54.20,61.30,55984,31367.60,7.09%
2010-06-28,63.00,60.22,-4.08,-6.35%,59.00,64.29,29485,18157.00,3.73%
2010-06-25,65.02,64.30,-1.68,-2.55%,62.86,65.66,18673,11983.39,2.36%
2010-06-24,66.15,65.98,-0.17,-0.26%,64.50,66.68,16671,10897.78,2.11%
2010-06-23,63.72,66.15,1.80,2.80%,63.72,66.95,24896,16345.76,3.15%
2010-06-22,65.28,64.35,-1.66,-2.51%,64.01,67.30,23077,15182.67,2.92%
2010-06-21,63.50,66.01,2.31,3.63%,62.11,66.40,29766,19293.89,3.77%
2010-06-18,67.98,63.70,-4.89,-7.13%,62.08,67.98,42071,27191.82,5.33%
2010-06-17,73.99,68.59,-5.42,-7.32%,68.50,75.49,41205,29386.66,5.22%
2010-06-11,76.80,74.01,-1.75,-2.31%,74.00,76.80,39292,29397.65,4.97%
2010-06-10,72.50,75.76,2.91,3.99%,71.98,75.90,45342,33881.91,5.74%
2010-06-09,70.51,72.85,2.85,4.07%,70.51,74.96,67713,49520.96,8.57%
2010-06-08,69.60,70.00,0.00,0.00%,67.98,70.90,33475,23206.96,4.24%
2010-06-07,65.69,70.00,2.97,4.43%,65.01,71.25,60721,41975.81,7.69%
2010-06-04,64.80,67.03,1.63,2.49%,64.60,67.40,36277,23995.03,4.59%
2010-06-03,64.85,65.40,1.42,2.22%,63.50,65.99,43540,28253.46,5.51%
2010-06-02,62.60,63.98,1.15,1.83%,61.80,63.99,23408,14704.46,2.96%
2010-06-01,63.99,62.83,-1.83,-2.83%,61.80,65.50,35074,22068.70,4.44%
2010-05-31,64.40,64.66,0.51,0.80%,63.85,67.39,40100,26365.54,5.08%
2010-05-28,66.06,64.15,-0.86,-1.32%,63.72,66.40,29552,19131.46,3.74%
2010-05-27,62.90,65.01,1.99,3.16%,62.18,65.56,32104,20692.62,4.06%
2010-05-26,63.60,63.02,-0.58,-0.91%,61.90,64.45,33080,20781.59,4.19%
2010-05-25,66.40,63.60,-3.91,-5.79%,63.00,67.69,56481,36718.56,7.15%
2010-05-24,65.60,67.51,2.51,3.86%,65.28,67.88,60227,40186.31,7.62%
2010-05-21,59.99,65.00,2.67,4.28%,59.05,65.83,63205,40135.46,8.00%
2010-05-20,61.50,62.33,-0.27,-0.43%,61.16,64.85,75559,47617.41,9.56%
2010-05-19,58.22,62.60,4.40,7.56%,57.35,63.79,103393,62971.74,13.09%
2010-05-18,55.30,58.20,2.87,5.19%,54.24,58.49,68011,38658.09,8.61%
2010-05-17,54.11,55.33,-0.15,-0.27%,53.48,58.00,59137,33169.88,7.49%
2010-05-14,55.20,55.48,-0.63,-1.12%,54.00,56.17,34965,19312.80,4.43%
2010-05-13,56.00,56.11,0.11,0.20%,53.77,56.90,48085,26732.34,6.09%
